1000,0,27510,2837
2000,0,57564,6180
3000,0.0005472,73092,9833
4000,0,124221,13289
5000,0.0005417,133788,17272
6000,0.0005211,179811,20858
7000,0.000551,226767,24598
8000,0.0005194,253581,28356
9000,0.0007658,287892,32558
10000,0.0010537,339834,36514
11000,0.0010314,334797,40879
12000,0.0010609,392598,44348
13000,0.0010988,429279,48604
14000,0.0015813,467706,52637
15000,0.0010596,490575,56769
16000,0.00118,551472,60578
17000,0.0015547,574416,65212
18000,0.0015589,631617,68873
19000,0.0021093,625296,73814
20000,0.0026293,702633,77351
21000,0.0016256,793665,81435
22000,0.0021377,765150,86249
23000,0.002208,874071,90177
24000,0.0021653,814170,95432
25000,0.0022424,852249,99424
26000,0.0027045,956343,103738
27000,0.0027713,990942,107356
28000,0.0026902,989916,112131
29000,0.0028084,1137510,115334
30000,0.003194,1099236,120570
31000,0.0031975,1220763,123743
32000,0.0032801,1196193,128810
33000,0.0032908,1226643,133419
34000,0.003764,1230363,138340
35000,0.003823,1197042,143883
36000,0.0037334,1399485,146967
37000,0.0037175,1420359,151186
38000,0.0044125,1341078,156995
39000,0.0053761,1393839,160749
40000,0.0041204,1464843,165114
41000,0.0047315,1493316,170110
42000,0.0043615,1396275,176405
43000,0.004868,1638300,178251
44000,0.0048144,1617876,182304
45000,0.0052732,1659807,187969
46000,0.0048115,1767996,191851
47000,0.0058696,1634553,198024
48000,0.0054512,1812414,200664
49000,0.0052547,1859868,205342
50000,0.005326,1963434,209101
51000,0.0053956,2221719,210671
52000,0.005456,1925562,219180
53000,0.0063865,2055807,222433
54000,0.0063075,2157579,227169
55000,0.0063739,2117487,232800
56000,0.0068151,2271048,236727
57000,0.0064367,2358339,239704
58000,0.0065503,2222973,247247
59000,0.0076902,2437671,247285
60000,0.0069167,2201463,256210
61000,0.0065428,2415348,259170
62000,0.0070319,2417217,264522
63000,0.0081673,2514978,268468
64000,0.0069955,2781600,270101
65000,0.0070869,2530035,276474
66000,0.007338,2561022,282437
67000,0.0076477,2910543,283721
68000,0.0075433,2587509,292893
69000,0.0075407,2650311,297510
70000,0.0080403,2687865,302407
71000,0.009837,2871480,304930
72000,0.0091458,3019878,309808
73000,0.0093869,2893014,315430
74000,0.0094002,2742396,321904
75000,0.0086631,3084513,323193
76000,0.00956,3348372,327143
77000,0.0095929,2973627,334890
78000,0.0092646,2968791,339752
79000,0.0102248,2961567,346076
80000,0.0095889,3263730,347283
81000,0.0092136,3190701,353706
82000,0.0101614,3337878,356975
83000,0.0098595,3304416,363343
84000,0.0096907,3308334,366968
85000,0.0103741,3505923,371567
86000,0.0098963,3467622,375611
87000,0.0110116,3339648,383218
88000,0.0109504,3663636,384313
89000,0.0111738,3577548,391743
90000,0.0108724,3486363,397521
91000,0.0111299,3763902,401230
92000,0.0114479,3615729,405833
93000,0.0114575,3728694,410645
94000,0.0113117,3722226,414881
95000,0.0124137,3819135,421087
96000,0.0114548,3893439,423296
97000,0.0123338,4561653,424551
98000,0.0132585,4101546,433202
99000,0.0124158,4266609,434620
100000,0.0119424,4057407,441884
